,Hotel_name,Positive_summary,Negative_summary
0,Hotel Arena,"[('comfy bed', 7), ('room staff', 7), ('helpful friendly', 7), ('great hotel', 5), ('staff location', 5)]","[('small room', 3), ('little bit', 2), ('construction com', 2), ('glass darken', 2), ('bath clean', 2)]"
1,K K Hotel George,"[('earl court', 35), ('staff location', 16), ('comfortable bed', 15), ('breakfast good', 11), ('helpful staff', 10)]","[('small room', 23), ('bathroom small', 8), ('bit small', 5), ('better could', 3), ('would room', 3)]"
2,Apex Temple Court Hotel,"[('great room', 25), ('comfortable bed', 21), ('helpful friendly', 19), ('staff location', 19), ('comfortable clean', 18)]","[('expensive breakfast', 15), ('anything think', 7), ('bit breakfast', 6), ('expensive bit', 6), ('price bar', 5)]"
3,The Park Grand London Paddington,"[('friendly staff', 64), ('staff location', 54), ('good location', 42), ('comfortable bed', 41), ('helpful staff', 37)]","[('small room', 78), ('bathroom small', 18), ('bed small', 13), ('size room', 10), ('size small', 7)]"
4,Monhotel Lounge SPA,"[('staff location', 3), ('helpful friendly', 2), ('friendly staff', 2), ('bed good', 2), ('asking sent', 1)]","[('small room', 2), ('expensive breakfast', 2), ('cvv credit', 1), ('credit card', 1), ('card delete', 1)]"
5,Kube Hotel Ice Bar,"[('comfortable bed', 2), ('brilliant extremely', 1), ('extremely shower', 1), ('shower spacious', 1), ('spacious modern', 1)]","[('situated kube', 1), ('kube timber', 1), ('timber boarding', 1), ('boarding advert', 1), ('brave gard', 1)]"
6,The Principal London,"[('staff location', 51), ('friendly staff', 51), ('good location', 28), ('helpful friendly', 28), ('great location', 26)]","[('small room', 22), ('bathroom small', 7), ('bathroom room', 5), ('room small', 4), ('anything think', 4)]"
7,Park Plaza County Hall London,"[('staff location', 72), ('friendly staff', 61), ('helpful friendly', 45), ('room location', 42), ('great room', 39)]","[('small room', 11), ('uncomfortable bed', 9), ('view room', 8), ('table wait', 7), ('expensive price', 7)]"
8,One Aldwych,"[('great location', 5), ('friendly staff', 5), ('great staff', 4), ('staff location', 4), ('helpful friendly', 4)]","[('tea facility', 6), ('small room', 5), ('facility coffee', 5), ('coffee room', 3), ('pool around', 2)]"
9,Splendid Etoile,"[('staff location', 9), ('triomphe arc', 6), ('good location', 4), ('friendly staff', 4), ('great location', 3)]","[('small room', 2), ('water shop', 1), ('shop sunday', 1), ('sunday room', 1), ('room informed', 1)]"
10,Hotel Trianon Rive Gauche,"[('good location', 8), ('staff location', 7), ('notre dame', 6), ('great location', 6), ('helpful staff', 6)]","[('small room', 11), ('bit small', 5), ('bathroom small', 4), ('little small', 3), ('everything great', 2)]"
11,InterContinental London Park Lane,"[('staff location', 8), ('good location', 3), ('room location', 3), ('excellent breakfast', 3), ('great location', 3)]","[('small room', 6), ('size room', 3), ('perfect stay', 2), ('value money', 2), ('leak tube', 1)]"
12,Novotel Suites Paris Nord 18 me,"[('clean room', 7), ('nice clean', 6), ('good room', 6), ('nice room', 4), ('room staff', 4)]","[('bad location', 5), ('location area', 3), ('location staff', 3), ('parking expensive', 3), ('tent refugee', 2)]"
13,Grand Royale London Hyde Park,"[('friendly staff', 105), ('staff location', 96), ('great location', 58), ('good location', 54), ('helpful friendly', 54)]","[('small room', 294), ('bathroom small', 37), ('bit small', 33), ('size room', 26), ('little small', 23)]"
14,Milestone Hotel Kensington,"[('attention detail', 4), ('service excellent', 2), ('helpful staff', 2), ('excellent hotel', 2), ('breakfast great', 2)]","[('twice sliver', 1), ('sliver storing', 1), ('storing unpacking', 1), ('unpacking disappeared', 1), ('fall bed', 1)]"
15,Crowne Plaza London Kings Cross,"[('comfortable bed', 34), ('clean room', 33), ('newly refurbished', 23), ('comfy bed', 22), ('breakfast good', 22)]","[('cross king', 15), ('alarm fire', 9), ('tube station', 7), ('station walk', 6), ('park car', 6)]"
16,Select Hotel,"[('staff location', 8), ('great room', 7), ('notre dame', 6), ('friendly great', 6), ('nice clean', 5)]","[('small room', 3), ('floor room', 2), ('machine coffee', 2), ('could breakfast', 2), ('breakfast hotel', 2)]"
17,H tel De Vend me,"[('staff location', 11), ('great staff', 6), ('helpful great', 3), ('friendly great', 3), ('friendly staff', 3)]","[('small room', 2), ('morning cooperative', 1), ('cooperative manger', 1), ('manger july', 1), ('july shift', 1)]"
18,Pullman Paris Centre Bercy,"[('bercy village', 14), ('helpful friendly', 5), ('friendly staff', 5), ('great location', 4), ('helpful staff', 3)]","[('pool nice', 2), ('nice would', 2), ('nearby park', 2), ('place far', 2), ('toilet clean', 2)]"
19,Gardette Park Hotel,"[('friendly staff', 8), ('good room', 5), ('helpful friendly', 4), ('clean friendly', 4), ('room staff', 4)]","[('small room', 8), ('well location', 2), ('little bit', 2), ('milk provided', 2), ('easily improved', 2)]"
20,Hotel Panache,"[('bed great', 2), ('newly renovated', 2), ('great room', 2), ('design amazing', 2), ('comfortable bed', 2)]","[('guy woke', 1), ('woke unhelpful', 1), ('unhelpful clear', 1), ('clear loud', 1), ('facing direction', 1)]"
21,H tel des Ducs D Anjou,"[('friendly staff', 6), ('helpful friendly', 5), ('staff location', 5), ('comfortable bed', 4), ('room location', 2)]","[('small room', 3), ('shabby decor', 2), ('shower little', 2), ('bathroom small', 2), ('shower bathroom', 2)]"
22,Hotel Scribe Paris Opera by Sofitel,"[('friendly staff', 6), ('staff location', 6), ('comfortable bed', 4), ('room location', 4), ('bed friendly', 3)]","[('longer stayed', 2), ('expensive bit', 2), ('gym small', 2), ('price breakfast', 2), ('bath shower', 2)]"
23,Novotel London West,"[('friendly staff', 45), ('comfortable bed', 30), ('hammersmith apollo', 30), ('staff location', 28), ('helpful staff', 24)]","[('park car', 14), ('price breakfast', 6), ('bit bed', 5), ('car parking', 5), ('expensive breakfast', 4)]"
24,Haymarket Hotel,"[('room location', 4), ('staff location', 4), ('best london', 3), ('facility excellent', 3), ('good hotel', 2)]","[('loved everything', 2), ('brummus lacklustre', 1), ('lacklustre service', 1), ('service following', 1), ('following compared', 1)]"
25,Intercontinental London The O2,"[('comfortable bed', 55), ('friendly staff', 51), ('comfy bed', 45), ('helpful friendly', 35), ('hotel staff', 35)]","[('price bar', 22), ('expensive breakfast', 16), ('bar service', 13), ('expensive price', 12), ('park car', 9)]"
26,H tel Juliana Paris,"[('eiffel tower', 5), ('comfortable bed', 3), ('nice clean', 3), ('clean good', 3), ('friendly hotel', 3)]","[('small room', 3), ('star hotel', 2), ('limited facility', 2), ('little bit', 2), ('desk front', 2)]"
